"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"285","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___TS.g17001.t1",0.869648589300294,0.00500994187100996,0.0768977917017832,158,-20.09,"2 21","280 306",22,"68.18%","81.82%"
"286","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___TS.g36503.t2",0.754909374649824,0.0303721370322453,0.158845769037565,155,-24.69,"2 20","130 151",18,"66.67%","77.78%"
"287","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g14243.t1",0.750606989763785,0.0318871047801711,0.162359475300698,164,-21.07,"2 22","557 581",21,"71.43%","80.95%"
"288","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g14243.t1",0.827858887991318,0.0111627223980898,0.103847022992042,145,-20.63,"2 20","420 449",24,"62.50%","70.83%"
"289","Montipora_capitata_HIv3___Scaffold_8_503091","Montipora_capitata_HIv3___RNAseq.g38737.t1",0.708514214555905,0.0491681529266782,0.198532408123787,154,-20.96,"2 20","70 94",19,"63.16%","84.21%"
"290","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g50100.t1",-0.760455013671909,0.0284858269157895,0.154335809516749,155,-21.04,"2 21","486 506",20,"80.00%","80.00%"
"291","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g21365.t1",-0.797955825516625,0.0176212571377173,0.125345057012356,161,-22.65,"2 18","661 682",16,"81.25%","81.25%"
"292","Montipora_capitata_HIv3___Scaffold_2_63883","Montipora_capitata_HIv3___RNAseq.g12516.t1",0.765975996890963,0.0266813784908682,0.149908530009064,149,-21.34,"2 23","255 281",24,"54.17%","75.00%"
"293","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g5054.t1",-0.74771984680283,0.032929216364718,0.164723654752975,150,-21.54,"2 21","295 315",19,"57.89%","84.21%"
"294","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g3245.t1",-0.828399156225292,0.0110627155559514,0.103465433376813,151,-21.12,"2 23","708 729",21,"61.90%","76.19%"
"295","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g44111.t3",-0.838345325719263,0.00932196610691127,0.0966733597972489,157,-21.94,"2 22","631 654",20,"65.00%","75.00%"
"296","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g39803.t1",-0.895015502898121,0.00266979046443349,0.0624713556656714,146,-20.32,"2 21","606 634",24,"66.67%","66.67%"
"297","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g50259.t1",0.869177193316507,0.00506261614657218,0.0771504383432154,179,-24.18,"2 22","39 61",20,"85.00%","90.00%"
"298","Montipora_capitata_HIv3___Scaffold_5_303930","Montipora_capitata_HIv3___RNAseq.g34578.t1",0.733060163809618,0.038541129493945,0.177231417777043,148,-20.08,"2 21","80 102",19,"57.89%","73.68%"
"299","Montipora_capitata_HIv3___Scaffold_6_434354","Montipora_capitata_HIv3___RNAseq.g34578.t1",0.838453312004918,0.00930409563748926,0.0966168918792686,150,-22.29,"2 19","282 304",17,"70.59%","70.59%"
"300","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g13284.t2",0.9123576802015,0.00157430348067103,0.0533570365493414,165,-23.64,"2 23","717 741",22,"72.73%","77.27%"
"301","Montipora_capitata_HIv3___Scaffold_4_229985","Montipora_capitata_HIv3___RNAseq.g45034.t1",0.936254516691973,0.000617007153090371,0.0417078364207499,184,-20.55,"2 23","615 637",21,"85.71%","90.48%"
"302","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g32460.t1",-0.908253890442446,0.00180023806554501,0.0554389143019871,151,-20.29,"2 21","258 283",21,"66.67%","71.43%"
"303","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g47946.t1",0.788098368721618,0.0201669858567922,0.132826177741687,158,-21.06,"2 21","490 515",23,"73.91%","73.91%"
"304","Montipora_capitata_HIv3___Scaffold_2_63883","Montipora_capitata_HIv3___RNAseq.g46194.t1",-0.794951566954731,0.0183744418351289,0.127565473927213,157,-27.64,"2 16","915 937",14,"85.71%","92.86%"
"305","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g5651.t1",0.888315230884993,0.00319753546887676,0.0661124806599243,164,-21.04,"2 17","90 112",15,"80.00%","93.33%"
"306","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___TS.g1042.t2",0.956920752367674,0.000193466492952596,0.032849866519069,164,-20.95,"2 23","394 416",21,"71.43%","80.95%"
"307","Montipora_capitata_HIv3___Scaffold_2_66515","Montipora_capitata_HIv3___RNAseq.g17066.t1",0.716784211555888,0.0454125562425037,0.191190959346504,160,-22.85,"2 22","847 871",21,"61.90%","85.71%"
"308","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g9780.t1",-0.836340136568064,0.00965777138400817,0.0980282004458611,161,-20.57,"2 18","833 854",16,"75.00%","87.50%"
"309","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g9780.t1",-0.862030481266505,0.00590516195312187,0.0816855608129703,160,-21.39,"2 21","858 878",19,"78.95%","84.21%"
"310","Montipora_capitata_HIv3___Scaffold_9_618173","Montipora_capitata_HIv3___RNAseq.g14295.t1",-0.720369749214622,0.0438399682242167,0.188065545132621,160,-22,"2 18","916 936",17,"76.47%","88.24%"
"311","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g8737.t1",-0.833820117430344,0.0100905508425182,0.0996866635280045,152,-26.82,"2 22","166 185",20,"75.00%","75.00%"
"312","Montipora_capitata_HIv3___Scaffold_8_503091","Montipora_capitata_HIv3___RNAseq.g20592.t1",0.772383984652405,0.0246777015375777,0.144917113614937,154,-22.3,"2 23","567 596",27,"66.67%","77.78%"
"313","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g19563.t1",-0.812634463742158,0.014219867654824,0.114477244497213,165,-23.18,"2 19","48 70",18,"77.78%","88.89%"
"314","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g17496.t1",-0.864360160341301,0.00562135468452216,0.0801986762514346,150,-24.19,"2 23","595 618",21,"61.90%","66.67%"
"315","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g16311.t1",0.841861384262567,0.00875123432693881,0.0944097586999089,159,-23.65,"2 21","466 488",20,"70.00%","80.00%"
"316","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g16311.t1",0.844157549024042,0.00839081211975293,0.0929190054109412,159,-20.06,"2 21","466 488",20,"70.00%","80.00%"
"317","Montipora_capitata_HIv3___Scaffold_10_721713","Montipora_capitata_HIv3___RNAseq.g34613.t1",-0.801487624610132,0.0167608934955516,0.122632853445654,159,-26.81,"2 20","777 797",18,"61.11%","88.89%"
"318","Montipora_capitata_HIv3___Scaffold_11_817971","Montipora_capitata_HIv3___RNAseq.g34613.t1",-0.801487624610132,0.0167608934955516,0.122632853445654,159,-26.81,"2 20","777 797",18,"61.11%","88.89%"
"319","Montipora_capitata_HIv3___Scaffold_151_1064446","Montipora_capitata_HIv3___RNAseq.g34613.t1",-0.801487624610132,0.0167608934955516,0.122632853445654,159,-26.81,"2 20","777 797",18,"61.11%","88.89%"
"320","Montipora_capitata_HIv3___Scaffold_10_721713","Montipora_capitata_HIv3___RNAseq.g26687.t1",0.7592951845369,0.0288741862746246,0.155248997733122,153,-26.55,"2 20","50 69",18,"66.67%","83.33%"
"321","Montipora_capitata_HIv3___Scaffold_11_817971","Montipora_capitata_HIv3___RNAseq.g26687.t1",0.7592951845369,0.0288741862746246,0.155248997733122,153,-26.55,"2 20","50 69",18,"66.67%","83.33%"
"322","Montipora_capitata_HIv3___Scaffold_151_1064446","Montipora_capitata_HIv3___RNAseq.g26687.t1",0.7592951845369,0.0288741862746246,0.155248997733122,153,-26.55,"2 20","50 69",18,"66.67%","83.33%"
"323","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g36220.t1",-0.802415551799333,0.0165393063347449,0.121949191426979,141,-21.33,"2 10","45 68",8,"87.50%","100.00%"
"324","Montipora_capitata_HIv3___Scaffold_9_611209","Montipora_capitata_HIv3___RNAseq.g38063.t1",0.784521323994112,0.021144253867661,0.135501299826487,156,-20.02,"2 20","256 276",18,"77.78%","77.78%"
"325","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g45462.t1",-0.789171342954474,0.0198794439228345,0.132020840111377,141,-20.94,"2 10","411 433",8,"87.50%","100.00%"
"326","Montipora_capitata_HIv3___Scaffold_6_396712","Montipora_capitata_HIv3___RNAseq.g43166.t1",-0.841767881881112,0.00876611588500854,0.0944807400574457,160,-20.43,"2 21","582 606",19,"63.16%","84.21%"
"327","Montipora_capitata_HIv3___Scaffold_10_659884","Montipora_capitata_HIv3___RNAseq.g24961.t1",-0.761998661406262,0.0279739661945193,0.153083897544218,154,-22.03,"2 16","599 623",15,"80.00%","86.67%"
"328","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___TS.g37361.t1",0.730515240472902,0.0395706238511864,0.17941540702925,162,-22.23,"2 22","813 835",21,"76.19%","80.95%"
"329","Montipora_capitata_HIv3___Scaffold_11_793245","Montipora_capitata_HIv3___TS.g43482.t1a",0.716710708739204,0.0454451448427896,0.191254500035554,167,-21.56,"2 23","403 427",23,"78.26%","78.26%"
"330","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g10663.t1",0.93374556978046,0.000691433648929636,0.0428422702865755,161,-21.8,"2 23","278 302",22,"68.18%","77.27%"
"331","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___RNAseq.g49382.t1",0.773717934776434,0.0242727149583311,0.1439087313049,172,-21.25,"2 21","370 391",19,"78.95%","84.21%"
"332","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___TS.g26936.t1b",0.720713606212262,0.0436909142194859,0.187771035729956,149,-21.81,"2 17","477 497",15,"80.00%","80.00%"
"333","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___TS.g3933.t1",0.826499416346092,0.0114168941975764,0.104798438186328,161,-21.73,"2 23","969 997",26,"65.38%","73.08%"
"334","Montipora_capitata_HIv3___Scaffold_10_638801","Montipora_capitata_HIv3___RNAseq.g22111.t1",0.780793949874939,0.0221933964786923,0.138326810959372,159,-20.32,"2 23","748 769",21,"71.43%","76.19%"
"335","Montipora_capitata_HIv3___Scaffold_2_86747","Montipora_capitata_HIv3___RNAseq.g22111.t1",0.780793949874939,0.0221933964786923,0.138326810959372,159,-20.32,"2 23","748 769",21,"71.43%","76.19%"
"336","Montipora_capitata_HIv3___Scaffold_5_319191","Montipora_capitata_HIv3___RNAseq.g22111.t1",0.780793949874939,0.0221933964786923,0.138326810959372,159,-20.32,"2 23","748 769",21,"71.43%","76.19%"
"337","Montipora_capitata_HIv3___Scaffold_6_415143","Montipora_capitata_HIv3___RNAseq.g22111.t1",0.780793949874939,0.0221933964786923,0.138326810959372,159,-20.32,"2 23","748 769",21,"71.43%","76.19%"
"338","Montipora_capitata_HIv3___Scaffold_9_611209","Montipora_capitata_HIv3___RNAseq.g21254.t1",0.738967779615127,0.036214702912937,0.172138436215318,147,-22.2,"2 12","557 579",10,"90.00%","90.00%"
"339","Montipora_capitata_HIv3___Scaffold_8_580085","Montipora_capitata_HIv3___RNAseq.g24145.t1",0.843105359742291,0.00855477413660548,0.0936122118488088,162,-23.01,"2 23","716 739",21,"71.43%","71.43%"
"340","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g47425.t1",0.736605438274172,0.037134406288269,0.174118436906236,154,-24.29,"2 15","553 576",13,"84.62%","84.62%"
"341","Montipora_capitata_HIv3___Scaffold_9_611209","Montipora_capitata_HIv3___RNAseq.g34761.t1",-0.821595853515656,0.012363988250321,0.108164065737126,170,-24.2,"2 22","104 126",21,"80.95%","85.71%"
"342","Montipora_capitata_HIv3___Scaffold_3_148198","Montipora_capitata_HIv3___RNAseq.g30160.t1",-0.847286630350282,0.00791507367098698,0.0909633375524426,144,-20.09,"2 22","144 170",24,"62.50%","62.50%"
"343","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g10772.t1",0.821351263202727,0.0124124826297946,0.108320258162036,163,-23.64,"2 21","29 55",24,"70.83%","75.00%"
"344","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g10772.t1",0.822562303656403,0.0121735431219791,0.107502001467155,163,-22.37,"2 21","29 55",24,"70.83%","75.00%"
"345","Montipora_capitata_HIv3___Scaffold_6_434354","Montipora_capitata_HIv3___RNAseq.g50045.t1",0.828284188370859,0.0110839490849404,0.103545311266643,155,-25.54,"2 22","747 773",24,"66.67%","75.00%"
"346","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g12019.t1",0.954018036383862,0.000234748888799835,0.0340353864684812,156,-21.99,"2 19","756 778",17,"70.59%","88.24%"
"347","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___RNAseq.g40845.t1",0.798720586682643,0.0174326676908217,0.124765932723375,184,-28.36,"2 21","162 183",19,"89.47%","89.47%"
"348","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g40776.t1",0.783817253448158,0.0213400103966636,0.136074567203852,160,-23.68,"2 18","652 675",17,"76.47%","88.24%"
"349","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___TS.g25634.t1",0.91339753910775,0.0015201515621623,0.0528413119375242,155,-21.53,"2 21","729 756",23,"65.22%","73.91%"
"350","Montipora_capitata_HIv3___Scaffold_3_148198","Montipora_capitata_HIv3___RNAseq.g41107.t1",0.829324401015368,0.010892768209814,0.10279715909565,159,-25.02,"2 22","694 722",26,"69.23%","73.08%"
"351","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g10127.t1",0.91881712807739,0.0012574999062585,0.0499869428892086,163,-20.62,"2 22","740 762",20,"70.00%","85.00%"
"352","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g16380.t1",0.791788765158645,0.0191887782722154,0.129968263477645,151,-20.41,"2 22","371 395",22,"68.18%","72.73%"
"353","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g12162.t1",-0.936738774005687,0.000603276027937788,0.0414534187495211,155,-20.36,"2 23","476 499",22,"63.64%","81.82%"
"354","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g31904.t1",0.947193301034355,0.000353708955166875,0.0367607424029592,170,-20.97,"2 23","596 619",21,"71.43%","80.95%"
"355","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___TS.g48139.t1",0.845442478978767,0.00819331337888236,0.0920908071859322,154,-22.03,"2 21","438 463",23,"69.57%","73.91%"
"356","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___TS.g48139.t1",0.845597594827297,0.0081696738230104,0.0920148369442136,154,-26.04,"2 21","438 463",23,"69.57%","73.91%"
"357","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g41897.t1",-0.707479775867817,0.0496506059467489,0.199457037756915,153,-21.35,"2 21","712 734",21,"66.67%","80.95%"
"358","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g21933.t1",0.855975722496766,0.00668521535569471,0.0854852230074299,167,-21.67,"2 20","1 21",18,"72.22%","88.89%"
"359","Montipora_capitata_HIv3___Scaffold_2_63883","Montipora_capitata_HIv3___TS.g48426.t1a",0.855842888541771,0.0067030266616857,0.0855703887651175,155,-20.94,"2 22","193 219",23,"56.52%","86.96%"
"360","Montipora_capitata_HIv3___Scaffold_11_742252","Montipora_capitata_HIv3___RNAseq.g19556.t1",0.775900836768577,0.0236189204877346,0.142202350957687,180,-26.86,"2 17","555 572",15,"100.00%","100.00%"
"361","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g24303.t1",-0.746626212081351,0.0333293384258053,0.165670546571604,164,-23.89,"2 18","128 152",19,"78.95%","84.21%"
"362","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g50334.t1",0.93458129779224,0.000666024392519783,0.0424268345282576,154,-23.08,"2 23","653 676",21,"61.90%","71.43%"
"363","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___TS.g12654.t1c",0.730996079956058,0.0393748448423703,0.179001735501016,154,-23.33,"2 20","261 285",20,"65.00%","80.00%"
"364","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g19656.t1",0.758946628436615,0.0289915310052028,0.15553065629465,163,-23.61,"2 23","611 639",26,"73.08%","76.92%"
"365","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g35885.t1",-0.896882356660324,0.00253356224768546,0.061446289289541,151,-20.75,"2 21","273 297",22,"63.64%","72.73%"
"366","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___RNAseq.g46461.t1",-0.822301487788164,0.0122247546651686,0.107668223912087,167,-20.08,"2 18","569 589",16,"87.50%","93.75%"
"367","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g46461.t1",0.958237385882891,0.000176441103734175,0.0323024634296894,169,-21.38,"2 22","818 841",20,"70.00%","85.00%"
"368","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g37439.t1",0.891950541691425,0.00290357192748433,0.0640215802607036,148,-23.05,"2 13","663 681",11,"81.82%","90.91%"
"369","Montipora_capitata_HIv3___Scaffold_186_1068044","Montipora_capitata_HIv3___RNAseq.g31246.t1",-0.711132581938764,0.0479596152946116,0.196207118075405,155,-25.68,"2 19","220 237",17,"70.59%","88.24%"
"370","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g35573.t1",0.798417516628489,0.0175072526011653,0.124991623559875,162,-20.01,"2 20","363 387",19,"73.68%","84.21%"
"371","Montipora_capitata_HIv3___Scaffold_6_396712","Montipora_capitata_HIv3___RNAseq.g42209.t1",0.781265628924771,0.0220588846781545,0.137981861015761,161,-26.19,"2 24","305 331",24,"66.67%","79.17%"
"372","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g12237.t1",0.825442848054775,0.0116169402964467,0.105490577534906,158,-20.95,"2 21","238 265",23,"69.57%","78.26%"
"373","Montipora_capitata_HIv3___Scaffold_2_123667","Montipora_capitata_HIv3___RNAseq.g40767.t1",0.901486301524267,0.00221705666868844,0.0589947552586285,160,-21.64,"2 22","44 69",21,"61.90%","85.71%"
"374","Montipora_capitata_HIv3___Scaffold_2_123667","Montipora_capitata_HIv3___RNAseq.g40767.t1",0.901486301524267,0.00221705666868844,0.0589947552586285,163,-20.66,"2 19","839 861",17,"82.35%","88.24%"
"375","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g48414.t1",0.82166375113207,0.012350547589039,0.108119147737349,164,-20.2,"2 23","359 381",21,"71.43%","80.95%"
"376","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___TS.g3814.t1",0.748313646141338,0.0327132054942784,0.164243783510227,167,-27.39,"2 22","490 512",20,"75.00%","85.00%"
"377","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g37665.t1",0.788167970692573,0.0201482553956711,0.132771016999852,170,-22.64,"2 19","288 310",17,"82.35%","88.24%"
"378","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g30705.t1",0.797214021605953,0.0178054001365517,0.125858550496837,145,-25.58,"2 10","5 27",8,"100.00%","100.00%"
"379","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g49322.t1",0.949553615957435,0.000308924285363145,0.03566764966612,154,-20.37,"2 23","3 26",21,"61.90%","71.43%"
"380","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g49322.t1",-0.946261379306915,0.000372502538715706,0.0371730686608458,150,-20.69,"2 23","714 737",21,"57.14%","71.43%"
"381","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___TS.g42497.t1",0.829375230279627,0.0108834802111765,0.102759116399572,148,-23.85,"2 13","849 867",11,"72.73%","100.00%"
"382","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___RNAseq.g38567.t1",-0.786086199497297,0.0207131765218758,0.134290661413927,181,-26.27,"2 22","541 564",20,"80.00%","90.00%"
"383","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g39057.t1",0.916943335168128,0.00134465181641287,0.0510139333628824,164,-20.34,"2 23","358 383",23,"73.91%","78.26%"
"384","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___TS.g26377.t2",-0.955248814940944,0.000216601757265512,0.0335708758250565,164,-21.11,"2 18","430 454",17,"82.35%","88.24%"
"385","Montipora_capitata_HIv3___Scaffold_9_618173","Montipora_capitata_HIv3___RNAseq.g47601.t1",-0.863265601275861,0.005753581282852,0.0808916621240672,182,-32.26,"2 19","697 716",17,"94.12%","94.12%"
"386","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g5867.t1",0.763317782792355,0.0275410825529649,0.152006795382348,159,-22.14,"2 21","45 70",23,"69.57%","73.91%"
"387","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.g5867.t1",0.763764445195254,0.0273954484152932,0.151664795455863,159,-20.87,"2 21","45 70",23,"69.57%","73.91%"
"388","Montipora_capitata_HIv3___Scaffold_186_1068044","Montipora_capitata_HIv3___RNAseq.g44894.t1",0.860351438758583,0.00611529002644055,0.0828294901396023,152,-23.74,"2 13","24 43",11,"81.82%","100.00%"
"389","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g163.t1",-0.775176458862541,0.0238346502523322,0.142785218697856,175,-27.79,"2 21","26 48",20,"80.00%","90.00%"
"390","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g163.t1",0.942974289161073,0.000444007198320418,0.0385222787514642,173,-20.44,"2 22","481 503",20,"70.00%","90.00%"
"391","Montipora_capitata_HIv3___Scaffold_11_832609","Montipora_capitata_HIv3___TS.g5669.t1",-0.756568708619866,0.029799915895539,0.157500963047821,145,-21.95,"2 10","454 476",8,"100.00%","100.00%"
"392","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g49062.t1",0.84307474378949,0.00855957526279581,0.0936315508620384,160,-21.32,"2 18","257 281",17,"82.35%","82.35%"
"393","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___TS.g255.t1",0.926895809226987,0.000923944313401819,0.0460872494906161,159,-24.06,"2 21","99 122",20,"70.00%","80.00%"
"394","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___TS.g39200.t2",0.779854763345928,0.0224627455936893,0.139069719129857,153,-21.05,"2 18","381 403",16,"68.75%","81.25%"
"395","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g40704.t1",-0.78558875470226,0.0208496087844829,0.13465752230524,147,-21.22,"2 17","386 412",18,"66.67%","77.78%"
"396","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g12077.t1",-0.838750266487457,0.00925506539666275,0.0964247624200244,160,-24.45,"2 18","728 747",17,"70.59%","94.12%"
"397","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g26828.t1",0.832626453820092,0.0102997625472793,0.100546813903422,147,-21.03,"2 23","149 170",21,"57.14%","76.19%"
"398","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g11864.t1",-0.746792826726903,0.0332681888339287,0.16551761469688,155,-20.06,"2 23","423 446",22,"72.73%","72.73%"
"399","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g5193.t1b",-0.777937263679671,0.023018947213668,0.140572593245651,151,-20.05,"2 22","16 38",20,"65.00%","75.00%"
"400","Montipora_capitata_HIv3___Scaffold_14_1007097","Montipora_capitata_HIv3___RNAseq.g32810.t1",0.879397919836376,0.00399825722268408,0.0712848565709261,180,-31.42,"2 17","548 565",15,"100.00%","100.00%"
"401","Montipora_capitata_HIv3___Scaffold_2_123667","Montipora_capitata_HIv3___RNAseq.g32810.t1",-0.736515869219243,0.0371695542754289,0.174206238082628,175,-20.42,"2 24","894 918",22,"68.18%","86.36%"
"402","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g44658.t1a",0.866109306372027,0.00541412372138157,0.079070381201209,173,-24.23,"2 23","1 25",23,"65.22%","91.30%"
"403","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g38916.t1",-0.782096793787782,0.0218230916558646,0.137349184966895,160,-24.13,"2 19","490 512",17,"76.47%","88.24%"
"404","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g10500.t1",-0.755452147943877,0.030184224990562,0.158377868779665,153,-21.32,"2 23","133 157",22,"59.09%","77.27%"
"405","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___TS.g48244.t1",-0.9096407487881,0.00172167588181983,0.0547083734850928,162,-27.22,"2 19","1 16",17,"88.24%","88.24%"
"406","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___TS.g45403.t1",0.85122695376274,0.00734093087253733,0.0884094668990781,168,-22.26,"2 22","853 876",21,"71.43%","85.71%"
"407","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g26681.t1",0.92067787743841,0.00117468457933243,0.04904854668107,156,-23.17,"2 23","142 173",29,"65.52%","68.97%"
"408","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___RNAseq.g15188.t1",0.816898634233446,0.0133163685058308,0.111378078029061,174,-22.74,"2 20","171 193",19,"78.95%","94.74%"
"409","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___TS.g36412.t1a",-0.812322056412584,0.0142875337954064,0.114710855956898,159,-30.29,"2 16","756 779",14,"85.71%","85.71%"
"410","Montipora_capitata_HIv3___Scaffold_186_1068044","Montipora_capitata_HIv3___TS.g4221.t2",0.738154434333541,0.0365297653897741,0.172825675782263,165,-23.49,"2 18","40 59",16,"75.00%","93.75%"
